City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jamestown,US,42.097,-79.2353,81.09,85,89,12.17,overcast clouds
80,Santo Antonio Do Ica,BR,-3.1022,-67.9397,78.73,83,42,0.34,scattered clouds
81,East London,ZA,-33.0153,27.9116,55.72,40,0,7.25,clear sky
82,Victoria,HK,22.2855,114.1577,85.98,84,64,1.99,broken clouds
83,Bengkulu,ID,-3.8004,102.2655,75.11,82,100,3.98,overcast clouds
84,Sitka,US,57.0531,-135.33,55.0,89,100,5.53,light rain
85,Anzio,IT,41.4853,12.6179,73.85,79,6,7.31,clear sky
86,Ostrovnoy,RU,68.0531,39.5131,52.11,91,18,9.28,few clouds
87,Laiyang,CN,36.9758,120.7136,74.21,97,100,5.41,light rain
88,Nome,US,64.5011,-165.4064,55.0,74,76,16.87,broken clouds
89,Castro,BR,-24.7911,-50.0119,62.51,59,100,4.27,light rain
90,Carnarvon,AU,-24.8667,113.6333,59.16,67,87,16.69,overcast clouds
91,Sabha,LY,27.0377,14.4283,88.59,17,22,10.2,few clouds
92,Luanda,AO,-8.8368,13.2343,70.16,91,26,9.42,scattered clouds
93,Knysna,ZA,-34.0363,23.0471,50.38,48,1,4.5,clear sky
94,Barra,BR,-11.0894,-43.1417,77.68,44,38,5.46,scattered clouds
95,Abu Zabad,SD,12.35,29.25,81.64,58,100,7.65,overcast clouds
96,Kurtamysh,RU,54.9103,64.4319,48.69,93,70,11.7,broken clouds
97,Flinders,AU,-34.5833,150.8552,57.06,71,18,4.0,few clouds
98,Albany,US,42.6001,-73.9662,86.18,70,71,1.99,broken clouds
99,Nouadhibou,MR,20.931,-17.0347,68.11,91,90,13.44,overcast clouds
100,Korla,CN,41.7597,86.1469,80.78,30,0,10.63,clear sky
101,Poum,NC,-20.2333,164.0167,73.54,80,97,7.85,overcast clouds
102,Teya,RU,60.3778,92.6267,57.02,98,77,4.16,broken clouds
