City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Dakoro,NE,85.32,overcast clouds,14.5106,6.765,Shagon mai liverpool
202,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
204,Shunyi,CN,78.84,light rain,40.125,116.6453,Beijing Mingchen Holiday Hotel
207,Tabou,CI,76.82,overcast clouds,4.423,-7.3528,hotêl doufoulougou
208,Gonaives,HT,84.18,broken clouds,19.45,-72.6833,Vertières Doux Séjour
212,Dicabisagan,PH,78.13,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
218,Naze,JP,81.52,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
219,Nautla,MX,84.04,overcast clouds,20.2167,-96.7833,Casa Blanca
220,Jiaocheng,CN,75.25,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
236,Ormara,PK,84.88,light rain,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
237,Bud,US,89.02,few clouds,39.447,-86.1758,Ted McQuinn Trust
240,Barwani,IN,83.75,overcast clouds,22.0333,74.9,Shree Mahalaxmi Guest House
241,Rincon,US,86.86,light rain,32.296,-81.2354,Days Inn Rincon
244,Auki,SB,82.67,broken clouds,-8.7676,160.7034,Auki Motel
249,Port Blair,IN,81.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
252,Hirara,JP,82.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
254,Bubaque,GW,80.49,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
255,Pierre,US,88.29,few clouds,44.3683,-100.351,Ramkota Hotel
265,Coos Bay,US,85.86,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
273,Cascais,PT,78.15,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
276,Krasnogvardeyskoye,RU,75.07,scattered clouds,45.8456,41.5186,Staraya Mel'nitsa Gostinitsa
277,Sabang,ID,81.73,overcast clouds,5.8933,95.3214,Hotel Citra
283,La Ronge,CA,88.02,smoke,55.1001,-105.2842,Northland Motor Hotel
284,Glenwood Springs,US,89.4,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
285,Thompson,CA,84.36,smoke,55.7435,-97.8558,Burntwood Hotel
288,Mangrol,IN,81.99,broken clouds,21.1167,70.1167,Hotel The Royal Honours
290,Vermillion,US,80.38,clear sky,42.7794,-96.9292,"Holiday Inn Express & Suites Vermillion, an IHG Hotel"
293,Acarau,BR,79.61,broken clouds,-2.8856,-40.12,castelo pizzaria
302,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
311,Houma,US,89.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
313,Coahuayana,MX,85.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
314,Abu Kamal,SY,89.74,clear sky,34.4506,40.9171,محطة التلفاز
321,Manicore,BR,84.56,broken clouds,-5.8092,-61.3003,Hotel Durval
322,Itarema,BR,79.48,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
